id,name,brand,manufacturer,upc,ean,type,currency,price,priceMin,priceMax,orderable,ats,stockLevel,primaryCategoryId,shortDescription,longDescription,pageTitle,pageDescription,pageKeywords,variationAttributes,variantCount,imageCount,primaryImage,slug
82516743M,Casual Slim Leg Pants,,,,,master,USD,175,,,true,812,812,mens-clothing-pants,This casual slim leg pant has a 15 inch leg opening and a laid back vibe. Made in our cotton stretch fabric with a micro houndstooth pattern.,"66% cotton, 30% polyester, 4% elastane on-seam side entry pockets two back besom pockets front rise 10 3/4 inches back rise 15 3/4 inches leg opening 15 inches inseam 34 1/4 inches measurements taken from a size 32 dry clean only",Men's Casual Slim Leg Pants,This casual slim leg pant has a 15 inch leg opening and a laid back vibe. Made in our cotton stretch fabric with a micro houndstooth pattern.,,color=Grey; size=28|29|30|31|32|33|34|36|38|40,10,13,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw0df6e3ec/images/large/B0374204_DL0_0.jpg,
25503070M,Ribbed Pleated Skirt,,,,,master,USD,68.99,,,false,0,0,womens-clothing-bottoms,One of our all time best selling skirts is now update with narrow pleat and elastic waist. You will love the comfort and the style!,One of our all time best selling skirts is now update with narrow pleat and elastic waist. You will love the comfort and the style!,Ribbed Pleated Skirt,One of our all time best selling skirts is now update with narrow pleat and elastic waist. You will love the comfort and the style!,,color=Laurel; size=S|M|L|XL,4,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw11d75f01/images/large/PG.10218193.JJ0NLE5.PZ.jpg,
25592590M,Full Skirt,,,,,master,USD,109,,,true,312,312,womens-clothing-bottoms,This stylish full skirt offers a sophisticated look in a great fabric as well. Add a floral printed tank to brighten up this look for spring.,This stylish full skirt offers a sophisticated look in a great fabric as well. Add a floral printed tank to brighten up this look for spring.,Full Skirt,This stylish full skirt offers a sophisticated look in a great fabric as well. Add a floral printed tank to brighten up this look for spring.,,color=Tundra; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwf6711fc3/images/large/PG.10238454.JJV02XX.PZ.jpg,
25553417M,Pencil Skirt,,,,,master,USD,79,,,true,725,725,womens-clothing-bottoms,"What a perfect skirt for business travel. Pack this mock wrap sleek knit dress in a suitcase, and it will pop out ready to wear.","What a perfect skirt for business travel. Pack this mock wrap sleek knit dress in a suitcase, and it will pop out ready to wear.",Pencil Skirt,"What a perfect skirt for business travel. Pack this mock wrap sleek knit dress in a suitcase, and it will pop out ready to wear.",,color=midnight navy|Chino; size=4|8|10|12|14|16,9,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwa23292cd/images/large/PG.10239566.JJ0VWXX.PZ.jpg,
25688190M,Classic Denim Straight Leg Capri,,,,,master,USD,59,,,true,649,649,womens-clothing-bottoms,Our favorite classic denim straight leg capri is updated in fresh-for-the-season hue with front and back pockets. This is that one perfect-fitting piece to anchor your wardrobe.,Our favorite classic denim straight leg capri is updated in fresh-for-the-season hue with front and back pockets. This is that one perfect-fitting piece to anchor your wardrobe.,Classic Denim Straight Leg Capri,Our favorite classic denim straight leg capri is updated in fresh-for-the-season hue with front and back pockets. This is that one perfect-fitting piece to anchor your wardrobe.,,color=Rinse Wash New; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw5b7e22f0/images/large/PG.60114021.JJE99XX.PZ.jpg,
25695217M,Shirred Front Tank.,,,,,master,USD,39,,,true,193,193,womens-clothing-tops,Pair this with a great Commerce Cloud Store bottom and Commerce Cloud Store jewelry for a perfect look!,Pair this with a great Commerce Cloud Store bottom and Commerce Cloud Store jewelry for a perfect look!,Shirred Front Tank.,Pair this with a great Commerce Cloud Store bottom and Commerce Cloud Store jewelry for a perfect look! ,,color=White; size=XS|S|M|L|XL,5,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwbd7a5a32/images/large/PG.10252321.JJI15XX.PZ.jpg,
25688608M,Floral Shirt Dress.,,,,,master,USD,148,,,true,286,286,womens-clothing-dresses,We took our favorite cargo shirt dress and updated it with a floral pattern. Perfect for 9 to 5 and beyond!,We took our favorite cargo shirt dress and updated it with a floral pattern. Perfect for 9 to 5 and beyond!,Floral Shirt Dress.,We took our favorite cargo shirt dress and updated it with a floral pattern. Perfect for 9 to 5 and beyond! ,,color=Ivory Multi; size=4|6|8|10|16,5,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw3c5ea8a5/images/large/PG.10249590.JJ2RRXX.PZ.jpg,
25695305M,Crochet Yoke Tank.,,,,,master,USD,44,,,true,343,343,womens-clothing-tops,This tank is a great addition to your closet! The crochet makes it look so feminine!,This tank is a great addition to your closet! The crochet makes it look so feminine!,Crochet Yoke Tank.,This tank is a great addition to your closet! The crochet makes it look so feminine! ,,color=Spa Blue Multi; size=S|M|L|XL,4,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw9034da2a/images/large/PG.10252949.JJ3LXXX.PZ.jpg,
25697578M,Straight Skirt.,,,,,master,USD,69,,,true,684,684,womens-clothing-bottoms,Make way for this effortless skirt. Add a blouse or suit jacket to complete your look.,Make way for this effortless skirt. Add a blouse or suit jacket to complete your look.,Straight Skirt.,Make way for this effortless skirt. Add a blouse or suit jacket to complete your look. ,,color=White; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw4fb6be0a/images/large/PG.10245550.JJI15XX.PZ.jpg,
25762759M,Tribal Inspired Slim Skirt,,,,,master,USD,73.99,,,true,483,483,womens-clothing-bottoms,We absolutely love this tribal inspired slim skirt and so will you! The color is great and the fit is great!,We absolutely love this tribal inspired slim skirt and so will you! The color is great and the fit is great!,Tribal Inspired Slim Skirt,We absolutely love this tribal inspired slim skirt and so will you! The color is great and the fit is great!,,color=Black Multi; size=6|8|10|14|16,5,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwc1e4dbb9/images/large/PG.10244521.JJ3WDXX.PZ.jpg,
25593277M,Long Pencil Skirt,,,,,master,USD,89,,,true,393,393,womens-clothing-bottoms,Long skirts are always a classic look; liven up this Commerce Cloud Store skirt with one of our amazing cardigans and matching tanks.,Long skirts are always a classic look; liven up this Commerce Cloud Store skirt with one of our amazing cardigans and matching tanks.,Long Pencil Skirt,Long skirts are always a classic look; liven up this Commerce Cloud Store skirt with one of our amazing cardigans and matching tanks.,,color=Ink; size=S|M|L|XL,4,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw803a5461/images/large/PG.10239086.JJIX2XX.PZ.jpg,
25589139M,Classic  Pant,,,,,master,USD,73.99,,,true,955,955,womens-clothing-bottoms,"This classic pant, with a contour waist and 2 back besom pockets is a must for every wardrobe. It's perfect from day-to-dinner","This classic pant, with a contour waist and 2 back besom pockets is a must for every wardrobe. It's perfect from day-to-dinner",Classic  Pant,"This classic pant, with a contour waist and 2 back besom pockets is a must for every wardrobe. It's perfect from day-to-dinner",,color=Black|New Rattan; size=4|6|8|10|12|14|16,11,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwd6fa27b7/images/large/PG.10233633.JJ3WCXX.PZ.jpg,
25688302M,Classic Fit Jean (Petite),,,,,master,USD,59,,,true,690,690,womens-clothing-bottoms,Five pocket straight leg jean. Pair with a cardigan and flats for a casual Friday look.,Five pocket straight leg jean. Pair with a cardigan and flats for a casual Friday look.,Classic Fit Jean (Petite),Five pocket straight leg jean. Pair with a cardigan and flats for a casual Friday look.,,color=Porcelain; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw2480ff75/images/large/PG.60114686.JJE25XX.PZ.jpg,
25695456M,Beaded 3/4 Sleeve Cardigan.,,,,,master,USD,79,,,true,369,369,womens-clothing-tops,Add some fun to any outfit with this beaded 3/4 sleeve cardigan.,Add some fun to any outfit with this beaded 3/4 sleeve cardigan.,Beaded 3/4 Sleeve Cardigan.,Add some fun to any outfit with this beaded 3/4 sleeve cardigan. ,,color=White; size=S|M|L|XL,4,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwd417a469/images/large/PG.10252805.JJI15XX.PZ.jpg,
25695601M,Floral Scoop Neck Tank.,,,,,master,USD,39,,,true,495,495,womens-clothing-tops,We took this classic floral tank and updated it with this season's favorite colors,We took this classic floral tank and updated it with this season's favorite colors,Floral Scoop Neck Tank.,We took this classic floral tank and updated it with this season's favorite colors ,,color=Multi; size=XS|S|M|L|XL,5,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwd5f21a90/images/large/PG.10255426.JJZ01XX.PZ.jpg,
25696521M,Sleeveless Sequined Top.,,,,,master,USD,99,,,true,395,395,womens-clothing-tops,Add sparkle to your summer with this great sleeveless sequin top.,Add sparkle to your summer with this great sleeveless sequin top.,Sleeveless Sequined Top.,Add sparkle to your summer with this great sleeveless sequin top. ,,color=Chino Multi; size=S|M|L|XL,4,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw17f21ca9/images/large/PG.10251295.JJE53XX.PZ.jpg,
25697151M,Beaded Cardigan,,,,,master,USD,119,,,true,397,397,womens-clothing-tops,Add instant glam to any summer outfit! Perfect for nine to five and beyond!,Add instant glam to any summer outfit! Perfect for nine to five and beyond!,Beaded Cardigan,Add instant glam to any summer outfit! Perfect for nine to five and beyond! ,,color=Black Multi; size=S|M|L|XL,4,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwc365bec2/images/large/PG.10251315.JJ3WDXX.PZ.jpg,
25697184M,Sequined Animal Print Shell.,,,,,master,USD,99,,,true,398,398,womens-clothing-tops,The best of both worlds; Animal print and sequined!,The best of both worlds; Animal print and sequined!,Sequined Animal Print Shell.,The best of both worlds; Animal print and sequined! ,,color=Black & White; size=S|M|L|XL,4,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw920cf10a/images/large/PG.10251513.JJ3WWXX.PZ.jpg,
25697713M,Zip Front Tank with Ruffles Blouse.,,,,,master,USD,59,,,true,720,720,womens-clothing-tops,Spice up your spring blouse collection with this great zip front tank with ruffles.,Spice up your spring blouse collection with this great zip front tank with ruffles.,Zip Front Tank with Ruffles Blouse.,Spice up your spring blouse collection with this great zip front tank with ruffles. ,,color=Black|White; size=S|M|L|XL,8,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw9b4a7d31/images/large/PG.10256690.JJ169XX.PZ.jpg,
25697739M,Sleeveless Ruffle Blouse.,,,,,master,USD,64,,,true,398,398,womens-clothing-tops,Update your wardrobe with this ruffle sleeveless shirt. Add a new piece of Commerce Cloud Store jewelry and you will look fabulous,Update your wardrobe with this ruffle sleeveless shirt. Add a new piece of Commerce Cloud Store jewelry and you will look fabulous,Sleeveless Ruffle Blouse.,Update your wardrobe with this ruffle sleeveless shirt. Add a new piece of Commerce Cloud Store jewelry and you will look fabulous ,,color=White; size=S|M|L|XL,4,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw923b12ea/images/large/PG.10245406.JJI15XX.PZ.jpg,
25720033M,Turquoise and Gold Hoop Earring,,,,,master,USD,30,,,false,0,0,womens-jewelry-earrings,Start summer off right with these turquoise and gold hoop earring. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Start summer off right with these turquoise and gold hoop earring. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Turquoise and Gold Hoop Earring,Start summer off right with these turquoise and gold hoop earring. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch. ,,color=Gold,1,3,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwcf2cb4f1/images/large/PG.60119235.JJ887XX.PZ.jpg,
25697843M,Square Neck Top,,,,,master,USD,49,,,true,400,400,womens-clothing-tops,We took our favorite top and updated it with a square neck. A square neck looks great on everyone!,We took our favorite top and updated it with a square neck. A square neck looks great on everyone!,Square Neck Top,We took our favorite top and updated it with a square neck.  A square neck looks great on everyone! ,,color=Admiral Navy; size=S|M|L|XL,4,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwa4dcf711/images/large/PG.10256826.JJBF5XX.PZ.jpg,
25502452M,Slim Pant,,,,,master,USD,64.99,,,true,400,400,womens-clothing-bottoms,This classic narrow leg pant will be an instant everyday staple. Pair it with a great Commerce Cloud Store top and you are set to go!,This classic narrow leg pant will be an instant everyday staple. Pair it with a great Commerce Cloud Store top and you are set to go!,Slim Pant,This classic narrow leg pant will be an instant everyday staple. Pair it with a great Commerce Cloud Store top and you are set to go!,,color=Brown; size=4|6|10|16,4,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw8e100577/images/large/PG.10202628.JJJA4XX.PZ.jpg,
