masterId,masterName,variantId,orderable,price,currency,attr_color,attr_size
82516743M,Casual Slim Leg Pants,883360524979M,true,175,USD,DL0,38
82516743M,Casual Slim Leg Pants,883360524955M,true,175,USD,DL0,34
82516743M,Casual Slim Leg Pants,883360524962M,true,175,USD,DL0,36
82516743M,Casual Slim Leg Pants,883360524900M,true,175,USD,DL0,29
82516743M,Casual Slim Leg Pants,883360524931M,true,175,USD,DL0,32
82516743M,Casual Slim Leg Pants,883360524894M,true,175,USD,DL0,28
82516743M,Casual Slim Leg Pants,883360524986M,true,175,USD,DL0,40
82516743M,Casual Slim Leg Pants,883360524917M,true,175,USD,DL0,30
82516743M,Casual Slim Leg Pants,883360524924M,true,175,USD,DL0,31
82516743M,Casual Slim Leg Pants,883360524948M,true,175,USD,DL0,33
25503070M,Ribbed Pleated Skirt,701643037582M,false,68.99,USD,JJ0NLE5,9LG
25503070M,Ribbed Pleated Skirt,701643037612M,false,68.99,USD,JJ0NLE5,9XL
25503070M,Ribbed Pleated Skirt,701643037599M,false,68.99,USD,JJ0NLE5,9MD
25503070M,Ribbed Pleated Skirt,701643037605M,false,68.99,USD,JJ0NLE5,9SM
25592590M,Full Skirt,701644031657M,true,109,USD,JJV02XX,006
25592590M,Full Skirt,701644031602M,true,109,USD,JJV02XX,012
25592590M,Full Skirt,701644031596M,true,109,USD,JJV02XX,010
25592590M,Full Skirt,701644031640M,true,109,USD,JJV02XX,004
25592590M,Full Skirt,701644031626M,true,109,USD,JJV02XX,016
25592590M,Full Skirt,701644031619M,false,109,USD,JJV02XX,014
25592590M,Full Skirt,701644031664M,true,109,USD,JJV02XX,008
25553417M,Pencil Skirt,701643489183M,false,79,USD,JJ0VWXX,008
25553417M,Pencil Skirt,701643489206M,true,79,USD,JJ493XX,012
25553417M,Pencil Skirt,701643489169M,true,79,USD,JJ0VWXX,004
25553417M,Pencil Skirt,701643489121M,true,79,USD,JJ0VWXX,010
25553417M,Pencil Skirt,701643489145M,true,79,USD,JJ0VWXX,014
25553417M,Pencil Skirt,701643489220M,true,79,USD,JJ493XX,016
25553417M,Pencil Skirt,701643489213M,true,79,USD,JJ493XX,014
25553417M,Pencil Skirt,701643489138M,true,79,USD,JJ0VWXX,012
25553417M,Pencil Skirt,701643489237M,true,79,USD,JJ493XX,004
25688190M,Classic Denim Straight Leg Capri,609717698106M,true,59,USD,JJE99XX,008
25688190M,Classic Denim Straight Leg Capri,609717698038M,true,59,USD,JJE99XX,012
25688190M,Classic Denim Straight Leg Capri,609717698083M,true,59,USD,JJE99XX,004
25688190M,Classic Denim Straight Leg Capri,609717698090M,true,59,USD,JJE99XX,006
25688190M,Classic Denim Straight Leg Capri,609717698045M,true,59,USD,JJE99XX,014
25688190M,Classic Denim Straight Leg Capri,609717698021M,true,59,USD,JJE99XX,010
25688190M,Classic Denim Straight Leg Capri,609717698052M,true,59,USD,JJE99XX,016
25695217M,Shirred Front Tank.,701644143862M,true,39,USD,JJI15XX,9LG
25695217M,Shirred Front Tank.,701644143879M,true,39,USD,JJI15XX,9MD
25695217M,Shirred Front Tank.,701644143886M,false,39,USD,JJI15XX,9SM
25695217M,Shirred Front Tank.,701644143893M,false,39,USD,JJI15XX,9XL
25695217M,Shirred Front Tank.,701644143909M,true,39,USD,JJI15XX,9XS
25688608M,Floral Shirt Dress.,701644257910M,true,148,USD,JJ2RRXX,010
25688608M,Floral Shirt Dress.,701644257972M,true,148,USD,JJ2RRXX,008
25688608M,Floral Shirt Dress.,701644257965M,true,148,USD,JJ2RRXX,006
25688608M,Floral Shirt Dress.,701644257941M,true,148,USD,JJ2RRXX,016
25688608M,Floral Shirt Dress.,701644257958M,true,148,USD,JJ2RRXX,004
25695305M,Crochet Yoke Tank.,701644151287M,true,44,USD,JJ3LXXX,9LG
25695305M,Crochet Yoke Tank.,701644151300M,true,44,USD,JJ3LXXX,9SM
25695305M,Crochet Yoke Tank.,701644151317M,true,44,USD,JJ3LXXX,9XL
25695305M,Crochet Yoke Tank.,701644151294M,true,44,USD,JJ3LXXX,9MD
25697578M,Straight Skirt.,701644388621M,true,69,USD,JJI15XX,014
25697578M,Straight Skirt.,701644388652M,true,69,USD,JJI15XX,004
25697578M,Straight Skirt.,701644388638M,true,69,USD,JJI15XX,016
25697578M,Straight Skirt.,701644388607M,true,69,USD,JJI15XX,010
25697578M,Straight Skirt.,701644388669M,true,69,USD,JJI15XX,006
25697578M,Straight Skirt.,701644388676M,true,69,USD,JJI15XX,008
25697578M,Straight Skirt.,701644388614M,true,69,USD,JJI15XX,012
25762759M,Tribal Inspired Slim Skirt,701643636334M,true,73.99,USD,JJ3WDXX,014
25762759M,Tribal Inspired Slim Skirt,701643636365M,true,73.99,USD,JJ3WDXX,006
25762759M,Tribal Inspired Slim Skirt,701643636372M,true,73.99,USD,JJ3WDXX,008
25762759M,Tribal Inspired Slim Skirt,701643636310M,true,73.99,USD,JJ3WDXX,010
